fileName,Max Dep Ref,GraphBuildTime,CalcLookupSize,CalcLookupTime,CalcPostProcessedLookupSize,CalcPostProcessedLookupTime
kevin_ruscitti_000_1_1.pst.125.xls,Phys Test:D15,221,6479,4200,6479,4251
joe_parks_000_1_1.pst.133.xls,Variable Rates - Sept:P5,181,18786,158457,18786,158519
benjamin_rogers_001_1_1.pst.153.xls,Template:E445,123,4545,3097,4541,3114
benjamin_rogers_000_1_1.pst.190.xls,CCFMODEL:H10,101,2973,1255,2970,1266
benjamin_rogers_000_1_1.pst.140.xls,Template:E445,246,4545,2621,4541,2634
vkaminski_001_1_2_1.pst.62.xls,5b. 7.3:D4,289,29029,40835,29029,40897
gerald_nemec_000_1_1.pst.11.xls,Cash Flows:B12,28,4266,6860,4266,6869
benjamin_rogers_000_1_1.pst.191.xls,CCFMODEL:H10,85,2973,1427,2970,1430
jim_schwieger_000_1_1.pst.110.xls,Sheet2:J5,30,4212,2536,4212,2543
jeff_dasovich_000_1_1_1.pst.138.xls,SCE Assessment:C44,17,3567,4145,3548,4149
